[kyfx_yk_pb:grade],FLOAT32,原矿Pb：品位
[kyfx_zqxk_pb:grade],FLOAT32,总铅精矿Pb：品位
[kyfx_yk_grade_Pb],FLOAT32,原矿Pb：品位
[kyfx_zqxk_grade_Pb],FLOAT32,总铅精矿Pb：品位
[kyfx_gqxk_grade_Pb],FLOAT32,高铅精矿Pb：品位
[kyfx_dqxk_grade_Pb],FLOAT32,低铅精矿Pb：品位
[kyfx_qkcw_grade_Pb],FLOAT32,铅快粗尾Pb：品位
[kyfx_qw_grade_Pb],FLOAT32,铅尾Pb：品位
[yj_qkc_5#you:ocssetup],UINT16,铅快粗工序2#油：OCS设定量
[yj_qkc_5#you:plcsetup],UINT16,铅快粗工序2#油：PLC设定流量
[yj_qkc_5#you:actualflow],UINT16,铅快粗工序2#油：实际药剂流量
[yj_qkc_dinghuangyao1:ocssetup],UINT16,铅快粗工序丁黄药：OCS设定量1
[yj_qkc_dinghuangyao2:ocssetup],UINT16,铅快粗工序丁黄药：OCS设定量2
[yj_qkc_dinghuangyao1:plcsetup],UINT16,铅快粗工序丁黄药：PLC设定流量
[yj_qkc_dinghuangyao2:plcsetup],UINT16,铅快粗工序丁黄药：PLC设定流量
[yj_qkc_dinghuangyao1:actualflow],UINT16,铅快粗工序丁黄药：实际药剂流量
[yj_qkc_dinghuangyao2:actualflow],UINT16,铅快粗工序丁黄药：实际药剂流量
[yj_qkc_shihui:ocssetup],UINT16,铅快粗工序石灰：OCS设定量
[yj_qkc_shihui:plcsetup],UINT16,铅快粗工序石灰：PLC设定流量
[yj_qkc_shihui:actualflow],UINT16,铅快粗工序石灰：实际药剂流量
[yj_qkc_yiliudan1:ocssetup],UINT16,铅快粗工序乙硫氮：OCS设定量1
[yj_qkc_yiliudan2:ocssetup],UINT16,铅快粗工序乙硫氮：OCS设定量2
[yj_qkj1_dinghuangyao:ocssetup],UINT16,铅快精一工序丁黄药：OCS设定量
[yj_qkj1_dinghuangyao:plcsetup],UINT16,铅快精一工序丁黄药：PLC设定流量
[yj_qkj1_dinghuangyao:actualflow],UINT16,铅快精一工序丁黄药：实际药剂流量
[yj_qkj1_shihui:ocssetup],UINT16,铅快精一工序石灰：OCS设定量
[yj_qkj1_shihui:plcsetup],UINT16,铅快精一工序石灰：PLC设定流量
[yj_qkj1_shihui:actualflow],UINT16,铅快精一工序石灰：实际药剂流量
[yj_qkj1_yiliudan:ocssetup],UINT16,铅快精一工序乙硫氮：OCS设定量
[yj_qkj1_yiliudan:plcsetup],UINT16,铅快精一工序乙硫氮：PLC设定流量
[yj_qkj1_yiliudan:actualflow],UINT16,铅快精一工序乙硫氮：实际药剂流量
[yj_qkj2_yiliudan:ocssetup],UINT16,铅快精二工序乙硫氮：OCS设定量
[yj_qkj2_shihui:ocssetup],UINT16,铅快精二工序石灰：OCS设定量
[yj_qkj2_yiliudan:plcsetup],UINT16,铅快精二工序乙硫氮：PLC设定流量
[yj_qkj2_shihui:plcsetup],UINT16,铅快精二工序石灰：PLC设定流量
[yj_qkj2_yiliudan:actualflow],UINT16,铅快精二工序乙硫氮：实际药剂流量
[yj_qkj2_shihui:actualflow],UINT16,铅快精二工序石灰：实际药剂流量
[yj_qkj2_dinghuangyao:actualflow],UINT16,铅快精二工序硫酸铜：实际药剂流量
[yj_qkj3_ds1:ocssetup],UINT16,铅快精三工序DS：OCS设定量1
[yj_qkj3_ds2:ocssetup],UINT16,铅快精三工序DS：OCS设定量2
[yj_qkj3_ds1:plcsetup],UINT16,铅快精三工序DS：PLC设定流量
[yj_qkj3_ds2:plcsetup],UINT16,铅快精三工序DS：PLC设定流量
[yj_qkj3_ds1:actualflow],UINT16,铅快精三工序DS：实际药剂流量
[yj_qkj3_ds2:actualflow],UINT16,铅快精三工序DS：实际药剂流量
[yj_qkj3_dinghuangyao:ocssetup],UINT16,铅快精三工序丁黄药：OCS设定量
[yj_qkj3_dinghuangyao:plcsetup],UINT16,铅快精三工序丁黄药：PLC设定流量
[yj_qkj3_dinghuangyao:actualflow],UINT16,铅快精三工序丁黄药：实际药剂流量
[yj_qkj3_shihui:ocssetup],UINT16,铅快精三工序石灰：OCS设定量
[yj_qkj3_shihui:plcsetup],UINT16,铅快精三工序石灰：PLC设定流量
[yj_qkj3_shihui:actualflow],UINT16,铅快精三工序石灰：实际药剂流量
[yj_qkj3_yiliudan:ocssetup],UINT16,铅快精三工序乙硫氮：OCS设定量
[yj_qkj3_yiliudan:plcsetup],UINT16,铅快精三工序乙硫氮：PLC设定流量
